person_id,income,debt,late_payments,loan_amount
ID_143,13184,3163,5,461305
ID_144,7356,1953,1,86213
ID_145,11329,4414,8,440303
ID_146,13311,2182,6,124749
ID_147,3962,1754,7,367234
ID_148,12305,3716,7,419894
ID_149,6375,4027,0,202101
ID_150,6474,2979,7,265458
ID_151,2783,3833,1,403542
ID_152,4733,3558,1,226046
ID_153,5083,634,1,66470
ID_154,3278,2930,0,310185
ID_155,9750,1082,0,432061
ID_156,13359,3646,9,63834
ID_157,8752,4332,4,31119
ID_158,12044,56,1,348411
ID_159,5563,1956,9,78919
ID_160,13470,1388,9,467093
ID_161,5382,955,9,375351
ID_162,7164,2475,7,318552
ID_163,5836,4662,5,240232
ID_164,7403,2506,0,204482
ID_165,3977,69,1,245440
ID_166,11787,2498,1,134173
ID_167,3585,2866,2,266163
ID_168,12039,2865,7,118816
ID_169,4519,2709,9,406222
ID_170,5046,4318,3,106820
ID_171,13793,50,0,408623
ID_172,14725,3901,3,457188
ID_173,4700,918,5,294205
ID_174,4450,1309,0,252131
ID_175,13076,2897,2,399657
ID_176,2175,3511,9,364768
ID_177,9550,3016,7,281465
ID_178,4968,4767,2,56461
ID_179,14478,4431,6,353159
ID_180,7339,2572,9,233959
ID_181,7975,4718,4,82787
ID_182,2246,526,4,163644
ID_183,3068,2933,0,28179
ID_184,4336,1190,2,480689
ID_185,2707,2458,9,318242
ID_186,10817,4716,0,304409
ID_187,6549,4440,3,339521
ID_188,10099,2957,0,100681
ID_189,9203,4873,3,300862
ID_190,8607,3119,2,139602
ID_191,10140,3803,3,421773
ID_192,11871,4014,9,93333
ID_193,11157,2192,1,389022
ID_194,14796,1178,8,15127
ID_195,8181,3257,4,294924
ID_196,13558,3255,0,397870
ID_197,2034,1191,8,160476
ID_198,12797,4253,1,188308
ID_199,3830,4146,7,360396
ID_200,5558,840,4,234825
ID_201,12404,445,5,334283
ID_202,14269,1193,8,36990
ID_203,4213,1859,2,306215
ID_204,7555,2738,4,147264
ID_205,6986,3431,5,390100
ID_206,11948,3897,4,276804
ID_207,9657,4553,0,438530
ID_208,7028,167,4,87637
ID_209,2821,4894,4,240220
ID_210,2307,2368,4,212586
ID_211,12111,578,1,51055
ID_212,10520,2282,6,81517
ID_213,5289,61,8,429950
ID_214,8047,1204,6,74624
ID_215,5905,1445,9,63775
ID_216,12840,4362,0,240458
ID_217,2734,3058,4,13460
ID_218,14828,3429,6,192499
ID_219,13308,1479,1,456549
ID_220,5111,4059,1,66107
ID_221,14992,3168,4,203908
ID_222,12536,2384,2,456772
ID_223,9106,4957,3,74602
ID_224,6894,4022,2,390438
ID_225,6927,618,3,174946
ID_226,11692,3762,7,30232
ID_227,13762,4214,7,281506
ID_228,14412,965,3,142241
ID_229,4001,420,4,376460
ID_230,6463,1263,2,281055
ID_231,14455,136,5,41582
ID_232,3111,80,7,482985
ID_233,2976,1696,7,130860
ID_234,12987,541,7,201956
ID_235,9430,1796,5,437856
ID_236,6751,1347,6,15342
ID_237,5528,1008,5,345460
ID_238,10409,4874,2,457263
ID_239,13909,3324,0,280958
ID_240,3696,913,1,170089
ID_241,3700,3487,5,110965
ID_242,4524,1873,6,317972
ID_243,7633,2200,9,494703
ID_244,14800,415,8,390031
ID_245,5815,2154,7,317820
ID_246,4520,2424,2,92969
ID_247,2397,3738,0,415091
ID_248,9771,4251,9,140280
ID_249,8443,434,0,147149
ID_250,8611,168,4,462099
ID_251,7427,2463,3,283687
ID_252,8159,1173,7,387457
ID_253,2957,1952,2,376431
ID_254,2273,1703,8,28797
ID_255,11730,4300,4,311173
ID_256,2876,1468,1,438652
ID_257,8120,933,8,148497
ID_258,12766,1887,5,253418
ID_259,7037,3053,1,335956
ID_260,12211,133,0,115937
ID_261,2808,4110,0,479502
ID_262,8912,3777,4,139099
ID_263,2444,4514,7,278515
ID_264,7661,3288,2,274733
ID_265,8029,1492,9,349967
ID_266,6589,1724,1,178627
ID_267,10595,3211,8,261714
ID_268,6716,4103,4,325720
ID_269,13757,1899,4,272571
ID_270,14441,3474,1,498038
ID_271,14890,2579,4,146334
ID_272,5929,4732,1,52565
ID_273,2412,3731,8,359527
ID_274,3050,3062,1,150864
ID_275,2200,3664,6,340730
ID_276,4293,1164,8,405455
ID_277,10026,1132,2,314138
ID_278,9390,3229,2,101935
ID_279,2928,811,7,437004
ID_280,2493,1809,4,446107
ID_281,10498,3282,6,60536
ID_282,4217,4727,3,408647
ID_283,11202,20,7,176439
ID_284,10502,3329,8,462866
ID_285,5430,3399,5,442067
ID_286,4606,3227,6,373615
ID_287,13303,2331,0,208661
ID_288,6302,597,1,339206
ID_289,13803,419,8,105823
ID_290,11123,1294,6,378585
ID_291,8162,1333,5,351935
ID_292,13179,1724,2,172628
ID_293,13918,2594,7,302975
ID_294,14265,1874,1,282142
ID_295,7944,821,0,146893
ID_296,7760,4336,4,487530
ID_297,8420,774,2,283949
ID_298,13942,4494,3,301719
ID_299,13569,2091,0,380062
ID_300,12143,1517,0,14346
ID_301,6453,2799,0,234558
ID_302,6901,904,4,477104
ID_303,6158,4107,6,37995
ID_304,9968,4269,7,276888
ID_305,7965,2671,1,330253
ID_306,4799,1410,1,225568
ID_307,5494,1722,3,353539
ID_308,4490,410,4,223713
ID_309,11350,2795,6,467000
ID_310,5480,2793,3,466001
ID_311,14567,4731,4,396334
ID_312,14568,1056,1,113618
ID_313,5938,616,2,459298
ID_314,11440,2523,8,373289
ID_315,12908,4444,6,67218
ID_316,7176,377,3,441557
ID_317,11805,1651,1,437030
ID_318,13294,1541,9,123484
ID_319,8480,844,8,161253
ID_320,14887,683,2,386616
ID_321,4497,2659,8,446913
ID_322,10052,3667,9,350393
ID_323,7119,1656,1,225256
ID_324,7945,400,5,462021
ID_325,7839,2844,5,355153
ID_326,5976,1533,2,224101
ID_327,3721,922,7,366599
ID_328,11842,3869,4,95114
ID_329,14074,3347,2,72967
ID_330,14858,850,7,95340
ID_331,14501,3500,2,174251
ID_332,12309,2778,4,173695
ID_333,4945,1381,8,328219
ID_334,4494,678,0,121927
ID_335,4798,2938,9,357688
ID_336,3413,164,4,100590
ID_337,5234,234,7,312527
ID_338,6842,823,0,342900
ID_339,5944,2145,1,326734
ID_340,14808,3721,8,337616
ID_341,13190,2544,8,221758
ID_342,6586,1173,9,156241
ID_343,13261,4791,5,284452
ID_344,6572,296,0,474857
ID_345,8700,4773,6,257197
ID_346,11129,4058,7,135510
ID_347,14658,1600,9,311860
ID_348,12838,4309,5,239891
ID_349,3858,4960,2,228837
ID_350,9558,3051,1,47411
ID_351,9419,2943,8,88785
ID_352,10923,1409,7,105357
ID_353,10765,191,1,55400
ID_354,11944,3447,5,489217
ID_355,5835,2721,2,354643
ID_356,11468,2478,4,132911
ID_357,3409,2240,0,69543
ID_358,4160,3422,8,279026
ID_359,13335,341,4,102508
ID_360,12311,2298,6,106265
ID_361,11777,1308,2,187605
ID_362,12864,1255,7,88402
ID_363,12120,713,1,294546
ID_364,10792,4336,3,214843
ID_365,11101,338,2,389878
ID_366,7159,778,7,465504
ID_367,5291,3450,5,317709
ID_368,11136,3590,4,348283
ID_369,14565,4294,8,263038
ID_370,14531,4924,9,336309
ID_371,12836,4245,4,416078
ID_372,13430,1892,7,43493
ID_373,13130,2195,9,172955
ID_374,4517,653,8,66348
ID_375,13599,4144,2,33786
ID_376,10156,3629,3,323764
ID_377,13162,2077,1,337996
ID_378,11336,3938,6,195110
ID_379,4435,4649,1,263972
ID_380,14584,1704,0,203051
ID_381,2732,1548,7,345375
ID_382,2362,2033,8,106519
ID_383,3022,1586,0,170946
ID_384,6086,2897,6,329259
ID_385,12929,4314,4,325278
ID_386,13559,672,3,19898
ID_387,8966,4036,9,365196
ID_388,2211,4463,1,324111
ID_389,5059,2796,8,322474
ID_390,5213,2947,8,90089
ID_391,9147,225,3,419177
ID_392,5142,4040,3,424070
ID_393,13206,897,7,212308
ID_394,2583,2836,5,487242
ID_395,6396,442,8,221576
ID_396,6696,1319,4,193193
ID_397,4079,4547,5,382485
ID_398,2127,2104,3,108020
ID_399,13167,4038,2,299117
ID_400,12674,789,8,132113
ID_401,3516,1553,0,225128
ID_402,12292,1535,5,352835
ID_403,9040,390,4,11091
ID_404,10837,3506,5,170487
ID_405,4922,4902,8,113342
ID_406,8067,4569,6,23587
ID_407,14977,3861,4,342704
ID_408,13823,1839,8,309156
ID_409,10081,3811,9,289147
ID_410,8923,1942,1,333581
ID_411,10462,4956,3,92614
ID_412,3467,4142,7,106272
ID_413,13021,4250,8,343672
ID_414,3607,1639,4,341963
ID_415,14587,3590,2,266992
ID_416,5009,776,8,169934
ID_417,3105,2821,2,97260
ID_418,7367,3506,0,334833
ID_419,9925,691,5,454645
ID_420,6587,956,9,118391
ID_421,8408,529,7,333813
ID_422,6600,1178,9,119147
ID_423,3777,680,0,443329
ID_424,5920,2444,2,169784
ID_425,3965,2347,1,221763
ID_426,5940,4501,6,13384
ID_427,13572,389,1,312983
ID_428,14919,896,0,18128
ID_429,8951,2595,3,480030
ID_430,8022,1180,3,165644
ID_431,7659,1272,7,455683
ID_432,3412,4921,6,168780
ID_433,9685,3891,8,220072
ID_434,4413,4831,1,117337
ID_435,8575,1008,0,445687
ID_436,12162,3534,5,120884
ID_437,10634,1514,8,397577
ID_438,12307,2300,8,411558
ID_439,3048,3103,2,402148
ID_440,14615,220,5,54636
ID_441,14017,1499,6,324954
ID_442,13512,2077,5,466186
ID_443,13485,3852,2,243424
ID_444,11151,4102,1,459476
ID_445,2137,276,5,430270
ID_446,11884,4218,3,428894
ID_447,11622,3645,2,273422
ID_448,11066,2697,5,496378
ID_449,12482,1462,0,167078
ID_450,2702,2444,6,294333
ID_451,13884,458,8,129618
ID_452,9494,827,7,355871
ID_453,11908,4476,6,89019
ID_454,12082,2123,1,137559
ID_455,2419,2895,1,343239
ID_456,7898,1214,4,460541
ID_457,9103,4753,1,257893
ID_458,13619,87,1,41269
ID_459,10514,1003,0,360467
ID_460,10874,2902,0,467890
ID_461,14281,2283,4,176853
ID_462,2001,2713,4,63794
ID_463,11345,4902,7,309885
ID_464,6162,4418,4,231628
ID_465,6148,3380,7,491137
ID_466,8025,2454,1,250635
ID_467,9029,2326,7,21928
ID_468,11774,2503,2,73354
ID_469,12645,1151,0,430374
ID_470,14699,1655,6,317847
ID_471,13775,3593,1,259964
ID_472,7840,2929,8,258187
ID_473,8591,435,9,472408
ID_474,10944,3829,8,156690
ID_475,14493,3543,4,223645
ID_476,9607,2638,0,489013
ID_477,2386,4217,1,300213
ID_478,7990,2332,0,97156
ID_479,11332,5,6,271675
ID_480,4765,3505,9,196530
ID_481,9933,4517,5,117409
ID_482,2810,2080,1,306725
ID_483,8490,2719,0,309038
ID_484,8696,2535,2,169393
ID_485,6714,4849,0,15551
ID_486,12431,2395,4,191655
ID_487,5026,3682,0,127531
ID_488,4747,43,3,129317
ID_489,5798,4677,2,315277
ID_490,10807,1397,0,255370
ID_491,13191,4598,1,300049
ID_492,3352,4042,3,342320
ID_493,14154,511,9,37468
ID_494,12202,2991,9,426451
ID_495,9496,2774,6,268037
ID_496,4861,1529,6,101009
ID_497,6770,1614,0,99854
ID_498,8617,1516,3,14883
ID_499,2724,2164,9,485389
ID_500,14109,1200,2,300939
ID_501,3778,542,0,498833
ID_502,2152,1333,7,114416
ID_503,10173,2930,7,175796
ID_504,7369,1697,5,256274
ID_505,4630,2665,4,121768
ID_506,5935,1741,8,420883
ID_507,4123,3928,6,81945
ID_508,3139,1734,7,427354
ID_509,3335,1978,8,307722
ID_510,9497,2411,7,187688
ID_511,5942,659,8,223351
ID_512,13824,47,7,181037
ID_513,14538,171,1,210219
ID_514,6978,4302,1,46062
ID_515,9289,129,6,246481
ID_516,8857,4869,1,210324
ID_517,13831,893,1,104078
ID_518,7848,4782,4,154693
ID_519,12440,654,0,124325
ID_520,12462,882,7,375986
ID_521,9152,4848,1,377609
ID_522,12596,544,9,73377
ID_523,9296,1348,9,204362
ID_524,8101,4732,7,92940
ID_525,5969,2937,3,266027
ID_526,11213,3454,6,55347
ID_527,7561,257,3,449410
ID_528,3948,2765,5,449420
ID_529,9312,1591,5,102981
ID_530,4874,892,0,161065
ID_531,6353,2120,0,33182
ID_532,8492,3076,7,59716
ID_533,11940,3810,0,154148
ID_534,6453,4009,0,316782
ID_535,3079,3186,7,243717
ID_536,3894,4677,2,12905
ID_537,14208,979,2,272749
ID_538,9789,3165,8,350944
ID_539,12961,4172,7,153698
ID_540,13785,4664,0,211850
ID_541,4052,739,3,21615
ID_542,10455,93,6,120051
ID_543,14220,185,2,336141
ID_544,13075,3982,3,431450
ID_545,2730,2975,6,63885
ID_546,10134,1063,7,273344
ID_547,9901,81,4,273837
ID_548,12517,2913,7,318834
ID_549,12097,4217,5,352014
ID_550,6173,582,5,462739
ID_551,8503,775,2,306404
ID_552,10972,4632,4,485458
ID_553,3683,4372,1,416022
ID_554,12869,4509,0,377768
ID_555,9253,2903,7,411386
ID_556,4907,2978,1,477568
ID_557,6606,1478,2,434931
ID_558,4940,4035,0,15167
ID_559,2541,2071,2,211979
ID_560,7657,3565,7,285076
ID_561,6692,4496,9,434915
ID_562,7338,4943,0,54824
ID_563,10260,34,8,245364
ID_564,10985,3252,2,394931
ID_565,11583,4694,0,274206
ID_566,6741,4000,8,236621
ID_567,5822,1659,5,208361
ID_568,11905,976,0,361707
ID_569,10544,3971,1,284622
ID_570,4216,2775,5,141863
ID_571,8303,1919,3,147141
ID_572,13998,4400,9,323174
ID_573,7196,4200,0,454228
ID_574,11153,1971,6,26495
ID_575,7742,3577,2,183590
ID_576,12745,472,0,467736
ID_577,3211,2392,5,149375
ID_578,6934,4128,4,459921
ID_579,6684,4727,2,437960
ID_580,8862,2253,3,22433
ID_581,7931,2987,2,201632
ID_582,7315,938,1,240643
ID_583,7420,110,4,151193
ID_584,14692,2178,9,210406
ID_585,6475,3265,4,306084
ID_586,12592,3189,1,335448
ID_587,12488,2055,7,438380
ID_588,5904,1034,0,35425
ID_589,7985,1898,7,303451
ID_590,11628,4554,7,13593
ID_591,8309,2683,1,433042
ID_592,13420,688,6,318304
ID_593,6198,80,8,124914
ID_594,2149,4785,4,236315
ID_595,10284,2698,9,484382
ID_596,2418,1203,3,468960
ID_597,8862,620,7,466245
ID_598,6892,2204,1,201375
ID_599,10189,2057,0,102172
ID_600,2213,2541,6,201728
ID_601,9479,2225,0,67829
ID_602,8697,610,7,475989
ID_603,14783,37,4,385609
ID_604,4800,919,8,78709
ID_605,8131,4125,4,160183
ID_606,6841,566,5,360483
ID_607,11112,4954,7,202446
ID_608,12563,184,5,301523
ID_609,7119,4403,4,381292
ID_610,10083,2820,8,26469
ID_611,12379,3441,7,495992
ID_612,12024,4173,7,253889
ID_613,11221,4077,1,349578
ID_614,2530,1494,8,186641
ID_615,6673,206,4,454678
ID_616,5019,2037,2,35939
ID_617,10795,429,4,150054
ID_618,6867,364,7,391327
ID_619,9205,4482,9,476642
ID_620,8529,447,4,350870
ID_621,14006,182,1,284570
ID_622,11088,1898,3,450125
ID_623,7105,3684,8,440112
ID_624,4416,177,2,17995
ID_625,14747,2325,5,494483
ID_626,7010,2200,0,207779
ID_627,12611,1380,7,133127
ID_628,10888,2590,5,219662
ID_629,6689,3406,8,260530
ID_630,8034,3736,9,143991
ID_631,12278,427,3,477122
ID_632,4013,3620,3,312302
ID_633,8567,1123,4,438269
ID_634,5215,3052,2,165521
ID_635,9782,3698,6,356663
ID_636,4638,495,4,491644
ID_637,5387,4138,3,26108
ID_638,5080,4714,6,108430
ID_639,8298,2344,7,173338
ID_640,12477,3462,6,434159
ID_641,11042,3219,5,389154
ID_642,8744,3852,6,358908
ID_643,13780,4075,0,475438
ID_644,13497,2059,0,380784
ID_645,13406,3652,4,52643
ID_646,11645,4521,2,153709
ID_647,10721,4020,3,485056
ID_648,5498,680,3,442182
ID_649,8863,1663,0,268844
ID_650,11851,2426,7,401857
ID_651,3544,1,7,440864
ID_652,7630,3457,4,464553
ID_653,2398,4471,9,425418
ID_654,14924,2653,8,320830
ID_655,6871,465,9,90147
ID_656,8065,2673,7,117354
ID_657,9485,4418,6,335296
ID_658,6361,3348,7,414752
ID_659,9448,3276,2,223639
ID_660,9151,4763,6,282935
ID_661,9893,4079,8,77888
ID_662,12482,559,1,148000
ID_663,14072,269,7,362326
ID_664,6390,1550,5,353428
ID_665,14947,51,6,317181
ID_666,9500,1559,1,442909
ID_667,9001,2752,8,140336
ID_668,12642,4507,6,20446
ID_669,14986,3277,2,176560
ID_670,5826,908,9,271528
ID_671,11630,838,2,452824
ID_672,5797,4143,3,201281
ID_673,8260,4807,5,484408
ID_674,2950,1672,4,391245
ID_675,12560,4896,2,258069
ID_676,5622,3348,4,95336
ID_677,13475,4204,3,285979
ID_678,11953,2545,2,117463
ID_679,11391,1186,4,335135
ID_680,5738,1242,4,105253
ID_681,14879,4125,0,63594
ID_682,4375,2784,7,188230
ID_683,9450,2570,3,255220
ID_684,2781,1912,1,361860
ID_685,11475,3064,4,314499
ID_686,7210,4116,1,123237
ID_687,14905,4409,6,470494
ID_688,9745,4629,7,237943
ID_689,4731,852,0,78217
ID_690,14073,3060,6,189399
ID_691,10163,2751,7,293895
ID_692,6370,2646,7,363910
ID_693,13634,2480,0,74279
ID_694,2345,4480,9,279019
ID_695,10928,510,3,140422
ID_696,5983,4222,0,332689
ID_697,3985,3878,2,268265
ID_698,10217,3965,6,446910
ID_699,3184,1447,4,120290
ID_700,9738,47,6,410554
ID_701,13748,3735,7,188166
ID_702,13689,3047,0,208803
ID_703,10181,1054,3,405141
ID_704,11158,1708,7,455211
ID_705,3808,3685,1,161721
ID_706,10727,1880,0,480773
ID_707,5532,4987,2,377483
ID_708,12734,3387,8,237032
ID_709,8865,4698,0,263014
ID_710,6615,251,3,448097
ID_711,8106,1781,3,235282
ID_712,11926,593,5,304674
ID_713,12417,3505,7,94674
ID_714,11611,2237,9,364139
ID_715,11095,4293,1,416741
ID_716,9417,4484,2,212443
ID_717,6510,4659,3,256790
ID_718,13813,4954,6,243719
ID_719,7498,1322,9,331272
ID_720,5796,128,8,385550
ID_721,11845,2393,5,231115
ID_722,8176,4469,1,464670
ID_723,13463,3223,8,268561
ID_724,4107,541,7,50203
ID_725,13263,3895,3,499581
ID_726,4883,3524,8,163113
ID_727,10987,1358,4,457665
ID_728,9026,4176,1,383402
ID_729,4876,2696,1,375527
ID_730,3183,1333,5,257786
ID_731,11508,4545,3,145975
ID_732,12198,670,3,432943
ID_733,14176,4047,4,85484
ID_734,13871,592,7,253350
ID_735,5625,3715,5,98216
ID_736,12053,1659,1,490835
ID_737,10708,1001,6,303357
ID_738,7082,2383,6,442711
ID_739,8185,1840,3,434080
ID_740,10428,4575,4,125118
ID_741,5644,396,0,321881
ID_742,5653,1866,5,457122
ID_743,2256,4647,6,196098
ID_744,13516,4354,1,59345
ID_745,3614,4898,9,48528
ID_746,2678,2776,9,466035
ID_747,11615,4343,3,366106
ID_748,11458,3327,6,140400
ID_749,9160,1103,4,423099
ID_750,14982,1105,9,412020
ID_751,13458,728,1,92416
ID_752,3639,4037,5,59943
ID_753,4296,754,6,204632
ID_754,4284,2114,3,226492
ID_755,10539,737,6,327078
ID_756,9407,3171,7,419782
ID_757,2230,1546,1,382784
ID_758,4867,4975,7,35991
ID_759,12413,1598,8,331534
ID_760,3350,2808,6,21045
ID_761,3722,554,8,497400
ID_762,13259,177,5,490559
ID_763,5820,2120,7,410585
ID_764,5298,2792,4,251178
ID_765,10452,4136,7,272421
ID_766,10202,2008,0,56443
ID_767,5897,558,0,401541
ID_768,5449,583,7,101586
ID_769,2897,2755,4,259720
ID_770,13929,3616,9,387989
ID_771,6806,1981,3,118735
ID_772,12027,3313,9,52212
ID_773,14172,3796,4,16673
ID_774,2856,1243,2,470207
ID_775,13307,3904,0,473974
ID_776,9115,4917,7,68338
ID_777,9781,1818,2,238252
ID_778,4414,2226,1,131039
ID_779,5926,1109,5,245253
ID_780,11292,2047,9,423633
ID_781,7181,3025,1,66001
ID_782,11296,1354,6,175815
ID_783,14117,3141,8,351058
ID_784,6579,2466,7,208567
ID_785,6253,3023,4,226465
ID_786,7332,132,4,79667
ID_787,5629,2794,9,59893
ID_788,5609,457,4,122144
ID_789,8218,2639,9,141586
ID_790,5527,3616,7,274056
ID_791,14011,732,7,331482
ID_792,7200,1958,4,358374
ID_793,3299,1043,0,141614
ID_794,8136,1704,5,191246
ID_795,6664,1232,1,129957
ID_796,11975,3118,6,384630
ID_797,4466,794,8,145702
ID_798,3534,2426,6,47281
ID_799,9271,1824,7,51150
ID_800,9592,2448,6,90004
ID_801,10654,4790,6,428749
ID_802,2046,3351,8,21002
ID_803,14304,2718,4,190702
ID_804,5780,4138,5,355775
ID_805,9737,936,9,286796
ID_806,8617,3280,3,439004
ID_807,10728,4474,6,375290
ID_808,2589,3171,3,169438
ID_809,14159,2312,2,42943
ID_810,14858,2738,8,381971
ID_811,6306,1181,5,387056
ID_812,13840,1203,7,91329
ID_813,11947,2075,0,141065
ID_814,13651,157,4,168888
ID_815,7259,4725,8,302167
ID_816,5220,2667,5,42303
ID_817,11481,3634,4,283610
ID_818,6080,1120,9,250161
ID_819,5939,3894,2,390156
ID_820,13306,2231,7,285267
ID_821,12376,3550,2,239853
ID_822,4915,1282,1,152966
ID_823,5724,243,5,326872
ID_824,10962,3090,3,298542
ID_825,5060,177,8,383534
ID_826,7786,122,7,405120
ID_827,13317,3228,6,468794
ID_828,8073,1939,3,16621
ID_829,5044,1351,6,257571
ID_830,2466,3270,4,413514
ID_831,7248,1425,4,289305
ID_832,14283,3947,5,445056
ID_833,3230,1635,1,353667
ID_834,14811,750,4,362405
ID_835,5960,2913,2,337862
ID_836,3587,3542,1,29210
ID_837,6513,518,7,364906
ID_838,4995,889,8,12502
ID_839,13262,479,6,349021
ID_840,8319,1984,7,284029
ID_841,9462,1795,2,473602
ID_842,4177,3999,6,425371
ID_843,12624,4278,0,223617
ID_844,12913,2245,2,300102
ID_845,3445,3618,9,225184
ID_846,14483,2444,2,421633
ID_847,4486,1839,4,51271
ID_848,9085,4846,2,88661
ID_849,2887,4198,7,468777
ID_850,10946,3445,9,447165
ID_851,7331,3869,9,140279
ID_852,13305,4245,7,497120
ID_853,8574,2465,8,193164
ID_854,12056,3268,5,95514
ID_855,10384,1195,2,179635
ID_856,8178,3900,0,192553
ID_857,6285,1649,8,363433
ID_858,10036,3688,2,451315
ID_859,6682,3216,4,426281
ID_860,13957,3481,2,306618
ID_861,9490,4546,4,101971
ID_862,14570,1910,3,472838
ID_863,9232,1066,1,317463
ID_864,8500,4649,4,69652
ID_865,10552,1708,6,305823
ID_866,14742,523,5,260681
ID_867,12672,2616,4,212520
ID_868,3626,2872,3,186901
ID_869,4358,3307,2,380432
ID_870,12449,1012,5,405141
ID_871,10603,2834,8,151360
ID_872,14724,1120,8,109895
ID_873,7240,747,0,191004
ID_874,11905,1320,4,63720
ID_875,12850,3476,5,232085
ID_876,4157,686,7,215307
ID_877,5603,2100,6,182895
ID_878,4253,769,1,196319
ID_879,11940,3094,8,172545
ID_880,3154,4186,3,364558
ID_881,8035,3219,9,413264
ID_882,7284,1568,4,233573
